Suhu (°C),Kelembaban (%),Kategori Suhu,Kategori Kelembaban,Level Pendingin,Level Penyiram
33.6,76.2,Panas,Tinggi,Tinggi,Rendah
11.9,72.8,Dingin,Tinggi,Rendah,Rendah
18.4,63.2,Hangat,Sedang,Sedang,Sedang
31.7,53.6,Panas,Sedang,Tinggi,Sedang
4.5,83.5,Dingin,Tinggi,Rendah,Rendah
16.0,18.7,Dingin,Rendah,Rendah,Tinggi
2.0,59.1,Dingin,Sedang,Rendah,Sedang
33.9,1.7,Panas,Rendah,Tinggi,Tinggi
25.6,22.6,Hangat,Rendah,Sedang,Tinggi
32.3,17.4,Panas,Rendah,Tinggi,Tinggi
34.5,38.7,Panas,Sedang,Tinggi,Sedang
46.8,13.8,Panas,Rendah,Tinggi,Tinggi
17.1,11.3,Dingin,Rendah,Rendah,Tinggi
46.2,87.7,Panas,Tinggi,Tinggi,Rendah
12.9,66.0,Dingin,Sedang,Rendah,Sedang
40.9,55.5,Panas,Sedang,Tinggi,Sedang
26.5,24.2,Hangat,Rendah,Sedang,Tinggi
4.7,89.7,Dingin,Tinggi,Rendah,Rendah
45.0,63.3,Panas,Sedang,Tinggi,Sedang
17.0,34.9,Dingin,Rendah,Rendah,Tinggi
36.3,89.7,Panas,Tinggi,Tinggi,Rendah
44.4,78.0,Panas,Tinggi,Tinggi,Rendah
